timestamp,segment,mode,tracking_mode,sample_rate,eyes_tracked,left_gaze_x,left_gaze_y,left_pupil,right_gaze_x,right_gaze_y,right_pupil,status,left_raw_px,left_raw_py,left_raw_pa,left_raw_width,left_raw_height,left_raw_crx,left_raw_cry,left_raw_crarea,left_raw_cr2x,left_raw_cr2y,left_raw_cr2area,right_raw_px,right_raw_py,right_raw_pa,right_raw_width,right_raw_height,right_raw_crx,right_raw_cry,right_raw_crarea,right_raw_cr2x,right_raw_cr2y,right_raw_cr2area
1042153,1,RECORD,CR,1000,LR,641.1,487.8,2628.0,644.0,481.0,2283.0,.....,,,,,,,,,,,,,,,,,,,,,,
1042154,1,RECORD,CR,1000,LR,641.1,487.5,2628.0,644.2,480.9,2283.0,.....,783.4921875,1124.9609375,32700.0,58.0,58.0,795.75,1142.44140625,110.0,,,0.0,1581.109375,1201.40625,32700.0,52.0,56.0,1588.51953125,1215.99609375,78.0,,,0.0
1042155,1,RECORD,CR,1000,LR,641.2,487.5,2628.0,644.3,480.9,2283.0,.....,783.5078125,1124.95703125,32700.0,59.0,58.0,795.75390625,1142.42578125,110.0,,,0.0,1581.1171875,1201.390625,32700.0,52.0,56.0,1588.51953125,1215.9375,78.0,,,0.0
1042156,1,RECORD,CR,1000,LR,641.2,487.5,2624.0,644.3,480.9,2283.0,.....,783.49609375,1124.9765625,32700.0,58.0,58.0,795.75,1142.42578125,110.0,,,0.0,1581.10546875,1201.38671875,32700.0,52.0,56.0,1588.51171875,1215.9921875,78.0,,,0.0
1042157,1,RECORD,CR,1000,LR,641.2,487.8,2624.0,644.4,480.9,2283.0,.....,783.5,1124.89453125,32700.0,58.0,58.0,795.75390625,1142.41796875,110.0,,,0.0,1581.09765625,1201.37890625,32700.0,52.0,56.0,1588.5234375,1215.98828125,78.0,,,0.0
1042158,1,RECORD,CR,1000,LR,641.3,487.8,2624.0,644.3,480.9,2282.0,.....,783.51171875,1124.96484375,32700.0,58.0,58.0,795.74609375,1142.40234375,110.0,,,0.0,1581.11328125,1201.3828125,32700.0,52.0,56.0,1588.51171875,1215.98046875,78.0,,,0.0
1042159,1,RECORD,CR,1000,LR,641.2,487.7,2624.0,644.3,480.9,2282.0,.....,783.49609375,1124.8984375,32700.0,58.0,58.0,795.7421875,1142.3984375,110.0,,,0.0,1581.09765625,1201.3671875,32700.0,52.0,56.0,1588.50390625,1215.9765625,78.0,,,0.0
1042160,1,RECORD,CR,1000,LR,641.1,487.7,2622.0,644.2,481.3,2283.0,.....,783.46875,1124.91796875,32700.0,59.0,58.0,795.72265625,1142.38671875,110.0,,,0.0,1581.07421875,1201.37890625,32700.0,52.0,56.0,1588.49609375,1215.96875,78.0,,,0.0
1042161,1,RECORD,CR,1000,LR,641.1,487.5,2622.0,644.2,481.3,2283.0,.....,783.453125,1124.9453125,32700.0,58.0,58.0,795.7109375,1142.37890625,110.0,,,0.0,1581.078125,1201.3125,32700.0,52.0,56.0,1588.48828125,1215.95703125,78.0,,,0.0
1042162,1,RECORD,CR,1000,LR,640.9,487.4,2626.0,644.2,481.3,2283.0,.....,783.48828125,1124.890625,32700.0,59.0,58.0,795.703125,1142.35546875,109.0,,,0.0,1581.078125,1201.359375,32700.0,52.0,56.0,1588.484375,1215.94921875,78.0,,,0.0
1042163,1,RECORD,CR,1000,LR,640.7,487.4,2626.0,644.1,481.1,2283.0,.....,783.4375,1124.89453125,32700.0,59.0,58.0,795.69921875,1142.3515625,109.0,,,0.0,1581.0546875,1201.3359375,32700.0,52.0,56.0,1588.4765625,1215.875,78.0,,,0.0
1042164,1,RECORD,CR,1000,LR,640.7,487.4,2625.0,643.7,481.1,2283.0,.....,783.41796875,1124.8984375,32700.0,59.0,58.0,795.69140625,1142.3359375,108.0,,,0.0,1581.0390625,1201.33203125,32700.0,52.0,56.0,1588.47265625,1215.9296875,78.0,,,0.0
1042165,1,RECORD,CR,1000,LR,641.0,487.4,2624.0,643.7,480.8,2283.0,.....,783.42578125,1124.8515625,32700.0,59.0,58.0,795.67578125,1142.32421875,109.0,,,0.0,1581.03125,1201.3046875,32700.0,52.0,56.0,1588.47265625,1215.92578125,78.0,,,0.0
1042166,1,RECORD,CR,1000,LR,641.0,487.5,2624.0,643.7,480.8,2283.0,.....,783.42578125,1124.83203125,32700.0,58.0,58.0,795.66796875,1142.3046875,108.0,,,0.0,1581.03125,1201.29296875,32700.0,52.0,56.0,1588.46875,1215.90625,78.0,,,0.0
1042167,1,RECORD,CR,1000,LR,641.0,487.6,2628.0,643.7,480.4,2284.0,.....,783.40625,1124.84375,32700.0,59.0,58.0,795.66796875,1142.2890625,108.0,,,0.0,1581.0390625,1201.26953125,32700.0,52.0,56.0,1588.46484375,1215.89453125,78.0,,,0.0
