timestamp,segment,mode,tracking_mode,sample_rate,eyes_tracked,left_gaze_x,left_gaze_y,left_pupil,right_gaze_x,right_gaze_y,right_pupil,status,left_raw_px,left_raw_py,left_raw_pa,left_raw_width,left_raw_height,left_raw_crx,left_raw_cry,left_raw_crarea,left_raw_cr2x,left_raw_cr2y,left_raw_cr2area,right_raw_px,right_raw_py,right_raw_pa,right_raw_width,right_raw_height,right_raw_crx,right_raw_cry,right_raw_crarea,right_raw_cr2x,right_raw_cr2y,right_raw_cr2area
4247134,1,RECORD,CR,1000,LR,630.2,447.2,2805.0,637.8,446.7,2599.0,.....,,,,,,,,,,,,,,,,,,,,,,
4247135,1,RECORD,CR,1000,LR,630.2,447.2,2806.0,637.8,446.7,2599.0,.....,822.98828125,1149.75390625,32700.0,63.0,58.0,841.08984375,1176.640625,135.0,,,0.0,1722.609375,1126.69921875,32700.0,59.0,56.0,1727.79296875,1152.55859375,99.0,,,0.0
4247136,1,RECORD,CR,1000,LR,630.3,447.2,2807.0,637.8,446.7,2599.0,.....,823.01953125,1149.78125,32700.0,63.0,57.0,841.08203125,1176.64453125,135.0,,,0.0,1722.58203125,1126.6796875,32700.0,59.0,57.0,1727.796875,1152.55859375,98.0,,,0.0
4247137,1,RECORD,CR,1000,LR,630.4,447.7,2806.0,637.8,446.6,2599.0,.....,823.00390625,1149.80859375,32700.0,63.0,57.0,841.08203125,1176.6484375,135.0,,,0.0,1722.6015625,1126.71484375,32700.0,59.0,57.0,1727.78515625,1152.55078125,99.0,,,0.0
4247138,1,RECORD,CR,1000,LR,630.4,447.7,2806.0,637.4,446.6,2599.0,.....,823.0,1149.8203125,32700.0,63.0,57.0,841.07421875,1176.65234375,136.0,,,0.0,1722.56640625,1126.67578125,32700.0,59.0,56.0,1727.77734375,1152.5546875,99.0,,,0.0
4247139,1,RECORD,CR,1000,LR,630.3,446.8,2810.0,637.4,446.7,2603.0,.....,822.98046875,1149.79296875,32700.0,63.0,57.0,841.0625,1176.66796875,135.0,,,0.0,1722.56640625,1126.69921875,32700.0,59.0,56.0,1727.7734375,1152.55078125,99.0,,,0.0
4247140,1,RECORD,CR,1000,LR,629.9,446.8,2810.0,637.3,446.7,2603.0,.....,822.9453125,1149.81640625,32700.0,63.0,57.0,841.05859375,1176.6796875,134.0,,,0.0,1722.5546875,1126.68359375,32700.0,59.0,57.0,1727.765625,1152.546875,99.0,,,0.0
4247141,1,RECORD,CR,1000,LR,629.9,447.7,2809.0,637.2,446.5,2603.0,.....,,,,,,,,,,,,,,,,,,,,,,
4247142,1,RECORD,CR,1000,LR,630.0,447.7,2809.0,637.2,446.5,2603.0,.....,,,,,,,,,,,,,,,,,,,,,,
4247143,1,RECORD,CR,1000,LR,630.0,447.0,2809.0,637.2,446.5,2603.0,.....,,,,,,,,,,,,,,,,,,,,,,
4247144,1,RECORD,CR,1000,LR,630.0,446.9,2812.0,637.1,446.7,2602.0,.....,822.9453125,1149.83203125,32700.0,63.0,57.0,841.02734375,1176.70703125,132.0,,,0.0,1722.51953125,1126.6796875,32700.0,59.0,57.0,1727.7421875,1152.55078125,99.0,,,0.0
4247145,1,RECORD,CR,1000,LR,629.8,446.7,2812.0,637.0,447.1,2601.0,.....,822.93359375,1149.8125,32700.0,63.0,57.0,841.02734375,1176.7265625,132.0,,,0.0,1722.51953125,1126.69921875,32700.0,59.0,57.0,1727.7421875,1152.55078125,99.0,,,0.0
4247146,1,RECORD,CR,1000,LR,629.8,446.7,2802.0,636.9,447.1,2601.0,.....,822.91796875,1149.86328125,32700.0,63.0,57.0,841.01953125,1176.7265625,132.0,,,0.0,1722.5078125,1126.69921875,32700.0,59.0,56.0,1727.734375,1152.55078125,99.0,,,0.0
4247147,1,RECORD,CR,1000,LR,630.1,446.7,2802.0,636.9,447.2,2601.0,.....,822.9375,1149.88671875,32700.0,63.0,57.0,841.0,1176.7265625,132.0,,,0.0,1722.50390625,1126.625,32700.0,58.0,57.0,1727.73046875,1152.5546875,99.0,,,0.0
4247148,1,RECORD,CR,1000,LR,630.1,446.8,2805.0,637.0,447.3,2601.0,.....,822.921875,1149.890625,32700.0,63.0,57.0,841.00390625,1176.74609375,132.0,,,0.0,1722.5,1126.69140625,32700.0,59.0,57.0,1727.71875,1152.546875,100.0,,,0.0
4247149,1,RECORD,CR,1000,LR,630.2,447.4,2804.0,637.0,447.3,2601.0,.....,822.921875,1149.9140625,32700.0,63.0,57.0,841.0,1176.74609375,132.0,,,0.0,1722.48828125,1126.69140625,32700.0,59.0,57.0,1727.71484375,1152.5390625,101.0,,,0.0
4247150,1,RECORD,CR,1000,LR,630.5,447.4,2804.0,637.0,447.4,2607.0,.....,822.9375,1149.92578125,32700.0,63.0,57.0,840.98828125,1176.76171875,132.0,,,0.0,1722.4765625,1126.6953125,32700.0,59.0,57.0,1727.71875,1152.54296875,100.0,,,0.0
4247151,1,RECORD,CR,1000,LR,630.5,447.5,2806.0,636.9,448.0,2606.0,.....,822.921875,1149.89453125,32700.0,64.0,57.0,840.984375,1176.76953125,133.0,,,0.0,1722.484375,1126.703125,32700.0,59.0,57.0,1727.7109375,1152.5390625,102.0,,,0.0
4247152,1,RECORD,CR,1000,LR,630.4,447.5,2820.0,636.9,448.0,2606.0,.....,822.89453125,1149.953125,32700.0,64.0,57.0,840.96875,1176.78125,133.0,,,0.0,1722.4765625,1126.6953125,32700.0,58.0,57.0,1727.703125,1152.5390625,102.0,,,0.0
4247153,1,RECORD,CR,1000,LR,630.4,447.4,2820.0,636.9,448.0,2606.0,.....,822.875,1149.9453125,32700.0,63.0,57.0,840.96875,1176.7890625,133.0,,,0.0,1722.47265625,1126.6953125,32700.0,59.0,57.0,1727.69921875,1152.5390625,102.0,,,0.0
4247154,1,RECORD,CR,1000,LR,631.0,447.4,2816.0,636.8,447.9,2606.0,.....,822.91796875,1149.94921875,32700.0,63.0,57.0,840.953125,1176.796875,134.0,,,0.0,1722.4375,1126.6640625,32700.0,59.0,56.0,1727.69140625,1152.5390625,102.0,,,0.0
4247155,1,RECORD,CR,1000,LR,631.0,447.4,2816.0,636.7,447.9,2605.0,.....,822.890625,1149.9609375,32700.0,63.0,57.0,840.94140625,1176.80859375,135.0,,,0.0,1722.4453125,1126.69140625,32700.0,58.0,57.0,1727.6875,1152.53125,102.0,,,0.0
4247156,1,RECORD,CR,1000,LR,631.0,447.4,2816.0,636.7,448.0,2605.0,.....,822.87109375,1149.95703125,32700.0,64.0,57.0,840.94140625,1176.81640625,134.0,,,0.0,1722.4296875,1126.66796875,32700.0,58.0,56.0,1727.6796875,1152.53515625,101.0,,,0.0
4247157,1,RECORD,CR,1000,LR,631.0,447.5,2810.0,636.6,448.0,2605.0,.....,822.87890625,1149.9921875,32700.0,63.0,57.0,840.9296875,1176.82421875,135.0,,,0.0,1722.4296875,1126.68359375,32700.0,59.0,56.0,1727.67578125,1152.52734375,102.0,,,0.0
4247158,1,RECORD,CR,1000,LR,630.6,447.5,2811.0,636.3,447.3,2605.0,.....,822.84375,1149.9921875,32700.0,63.0,57.0,840.92578125,1176.828125,133.0,,,0.0,1722.41015625,1126.66015625,32700.0,58.0,57.0,1727.67578125,1152.52734375,101.0,,,0.0
4247159,1,RECORD,CR,1000,LR,630.6,447.5,2812.0,636.3,447.3,2605.0,.....,822.84765625,1149.99609375,32700.0,64.0,57.0,840.9140625,1176.83203125,134.0,,,0.0,1722.39453125,1126.65625,32700.0,59.0,57.0,1727.6640625,1152.5234375,101.0,,,0.0
4247160,1,RECORD,CR,1000,LR,630.7,447.4,2812.0,636.3,447.4,2605.0,.....,822.83203125,1149.9921875,32700.0,63.0,57.0,840.91015625,1176.8359375,133.0,,,0.0,1722.37109375,1126.6796875,32700.0,58.0,56.0,1727.66015625,1152.51171875,101.0,,,0.0
4247161,1,RECORD,CR,1000,LR,630.7,447.4,2812.0,636.4,447.5,2608.0,.....,822.84375,1149.9375,32700.0,63.0,57.0,840.89453125,1176.84765625,134.0,,,0.0,1722.390625,1126.66015625,32700.0,59.0,57.0,1727.65234375,1152.515625,101.0,,,0.0
4247162,1,RECORD,CR,1000,LR,630.5,447.3,2817.0,636.4,447.5,2609.0,.....,822.81640625,1150.0390625,32700.0,64.0,57.0,840.890625,1176.84765625,134.0,,,0.0,1722.375,1126.6640625,32700.0,58.0,57.0,1727.62890625,1152.51171875,102.0,,,0.0
