timestamp,segment,mode,tracking_mode,sample_rate,eyes_tracked,left_gaze_x,left_gaze_y,left_pupil,right_gaze_x,right_gaze_y,right_pupil,status,left_raw_px,left_raw_py,left_raw_pa,left_raw_width,left_raw_height,left_raw_crx,left_raw_cry,left_raw_crarea,left_raw_cr2x,left_raw_cr2y,left_raw_cr2area,right_raw_px,right_raw_py,right_raw_pa,right_raw_width,right_raw_height,right_raw_crx,right_raw_cry,right_raw_crarea,right_raw_cr2x,right_raw_cr2y,right_raw_cr2area
3143802,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,,,,,,,,,,,,,,,,,,,,
3143803,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143804,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143805,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143806,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143807,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143808,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143809,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143810,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143811,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143812,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143813,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143814,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143815,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143816,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143817,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143818,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143819,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143820,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143821,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143822,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143823,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143824,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143825,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143826,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143827,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143828,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143829,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143830,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143831,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143832,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143833,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143834,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143835,1,RECORD,CR,1000,LR,,,0.0,,,0.0,..RC.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143836,1,RECORD,CR,1000,LR,,,0.0,,,0.0,..RC.,731.1796875,1655.796875,32700.0,17.0,15.0,748.68359375,1661.80078125,200.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143837,1,RECORD,CR,1000,LR,,,0.0,,,0.0,...C.,731.0546875,1654.68359375,32700.0,23.0,17.0,748.76953125,1661.953125,196.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143838,1,RECORD,CR,1000,LR,,,0.0,,,0.0,...C.,731.77734375,1653.5078125,32700.0,26.0,19.0,748.78515625,1662.0,200.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143839,1,RECORD,CR,1000,LR,,,0.0,,,0.0,...C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143840,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143841,1,RECORD,CR,1000,LR,,,0.0,,,0.0,.C.C.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143842,1,RECORD,CR,1000,LR,625.8,839.3,1116.0,,,0.0,..RC.,,,32700.0,,,,,0.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143843,1,RECORD,CR,1000,LR,664.3,812.1,1116.0,,,0.0,..RC.,738.60546875,1648.30859375,32700.0,52.0,28.0,748.9765625,1662.58984375,198.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143844,1,RECORD,CR,1000,LR,699.2,763.0,1190.0,,,0.0,...C.,738.77734375,1647.609375,32700.0,54.0,29.0,749.04296875,1662.6953125,198.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143845,1,RECORD,CR,1000,LR,690.8,747.8,1251.0,,,0.0,...C.,738.50390625,1647.17578125,32700.0,54.0,31.0,749.08984375,1662.80859375,200.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143846,1,RECORD,CR,1000,LR,690.0,730.0,1326.0,,,0.0,...C.,738.69140625,1646.5546875,32700.0,55.0,32.0,749.15234375,1662.91015625,204.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143847,1,RECORD,CR,1000,LR,686.3,711.5,1403.0,,,0.0,...C.,738.7265625,1645.953125,32700.0,56.0,33.0,749.21484375,1663.0078125,205.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143848,1,RECORD,CR,1000,LR,684.3,691.9,1475.0,,,0.0,...C.,738.87890625,1645.34375,32700.0,56.0,34.0,749.28515625,1663.11328125,201.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143849,1,RECORD,CR,1000,LR,681.1,675.0,1533.0,,,0.0,...C.,738.875,1644.765625,32700.0,55.0,36.0,749.3359375,1663.21875,204.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143850,1,RECORD,CR,1000,LR,676.8,656.8,1609.0,,,0.0,...C.,738.87890625,1644.2421875,32700.0,56.0,37.0,749.39453125,1663.31640625,197.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143851,1,RECORD,CR,1000,LR,671.7,642.1,1650.0,,,0.0,...C.,738.7734375,1643.7734375,32700.0,55.0,38.0,749.453125,1663.41015625,196.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143852,1,RECORD,CR,1000,LR,668.8,627.5,1715.0,,,0.0,...C.,738.76171875,1643.31640625,32700.0,56.0,38.0,749.50390625,1663.515625,196.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143853,1,RECORD,CR,1000,LR,665.7,616.6,1758.0,,,0.0,...C.,738.7265625,1642.9609375,32700.0,56.0,40.0,749.57421875,1663.59765625,198.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143854,1,RECORD,CR,1000,LR,662.6,604.3,1809.0,,,0.0,...C.,738.6796875,1642.56640625,32700.0,56.0,41.0,749.625,1663.68359375,199.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143855,1,RECORD,CR,1000,LR,662.4,588.7,1871.0,,,0.0,...C.,738.796875,1642.0,32700.0,56.0,43.0,749.6875,1663.7734375,196.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143856,1,RECORD,CR,1000,LR,662.2,577.8,1917.0,,,0.0,...C.,738.9375,1641.69921875,32700.0,55.0,44.0,749.73828125,1663.85546875,197.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143857,1,RECORD,CR,1000,LR,657.5,566.4,1958.0,,,0.0,...C.,738.7890625,1641.34375,32700.0,56.0,45.0,749.7890625,1663.9453125,197.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143858,1,RECORD,CR,1000,LR,655.7,554.9,2005.0,,,0.0,...C.,738.8203125,1640.96484375,32700.0,55.0,46.0,749.86328125,1664.0234375,197.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143859,1,RECORD,CR,1000,LR,654.4,545.5,2029.0,,,0.0,...C.,738.83203125,1640.64453125,32700.0,54.0,47.0,749.90625,1664.1015625,199.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143860,1,RECORD,CR,1000,LR,654.2,537.1,2069.0,,,0.0,...C.,738.87890625,1640.3125,32700.0,54.0,48.0,749.96484375,1664.171875,200.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143861,1,RECORD,CR,1000,LR,654.1,527.6,2090.0,,,0.0,...C.,739.015625,1640.0703125,32700.0,55.0,49.0,750.03125,1664.1875,198.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143862,1,RECORD,CR,1000,LR,653.2,522.2,2108.0,,,0.0,...C.,739.05859375,1639.94140625,32700.0,55.0,49.0,750.0859375,1664.32421875,196.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143863,1,RECORD,CR,1000,LR,653.1,515.5,2123.0,,,0.0,...C.,739.12890625,1639.734375,32700.0,54.0,50.0,750.12890625,1664.39453125,196.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143864,1,RECORD,CR,1000,LR,651.8,510.8,2147.0,,,0.0,...C.,739.11328125,1639.60546875,32700.0,55.0,51.0,750.17578125,1664.47265625,198.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143865,1,RECORD,CR,1000,LR,648.4,509.3,2148.0,,,0.0,...C.,739.0,1639.6328125,32700.0,55.0,51.0,750.22265625,1664.5390625,196.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143866,1,RECORD,CR,1000,LR,647.2,506.9,2149.0,656.1,518.4,1750.0,....R,738.99609375,1639.55078125,32700.0,54.0,52.0,750.2734375,1664.59765625,197.0,,,0.0,,,32700.0,,,,,0.0,,,0.0
3143867,1,RECORD,CR,1000,LR,647.2,506.9,2149.0,652.2,512.9,1750.0,....R,739.0234375,1639.66796875,32700.0,54.0,53.0,750.296875,1664.66796875,195.0,,,0.0,1643.5703125,1709.0234375,32700.0,47.0,48.0,1652.5078125,1733.99609375,105.0,,,0.0
3143868,1,RECORD,CR,1000,LR,647.7,506.8,2147.0,648.3,507.4,1739.0,.....,739.10546875,1639.71875,32700.0,56.0,52.0,750.3359375,1664.734375,196.0,,,0.0,1643.5703125,1709.06640625,32700.0,47.0,48.0,1652.52734375,1734.05859375,105.0,,,0.0
3143869,1,RECORD,CR,1000,LR,647.7,507.0,2147.0,648.3,509.9,1739.0,.....,739.12109375,1639.75390625,32700.0,54.0,54.0,750.375,1664.7890625,197.0,,,0.0,1643.59375,1709.23828125,32700.0,47.0,47.0,1652.53125,1734.1171875,105.0,,,0.0
3143870,1,RECORD,CR,1000,LR,646.7,507.2,2147.0,648.6,514.2,1739.0,.....,739.10546875,1639.88671875,32700.0,54.0,53.0,750.4140625,1664.86328125,195.0,,,0.0,1643.625,1709.46484375,32700.0,47.0,47.0,1652.55078125,1734.17578125,105.0,,,0.0
3143871,1,RECORD,CR,1000,LR,646.7,508.3,2133.0,650.0,520.8,1729.0,.....,739.15625,1639.98046875,32700.0,54.0,52.0,750.44921875,1664.921875,194.0,,,0.0,1643.71484375,1709.76171875,32700.0,47.0,46.0,1652.5703125,1734.234375,105.0,,,0.0
3143872,1,RECORD,CR,1000,LR,647.5,511.2,2133.0,649.9,523.0,1729.0,.....,739.2109375,1640.0625,32700.0,55.0,52.0,750.484375,1664.9609375,197.0,,,0.0,1643.73046875,1709.90234375,32700.0,47.0,46.0,1652.59765625,1734.27734375,106.0,,,0.0
3143873,1,RECORD,CR,1000,LR,648.4,513.1,2149.0,649.9,523.0,1729.0,.....,739.2890625,1640.2734375,32700.0,55.0,52.0,750.51171875,1665.01953125,197.0,,,0.0,1643.75,1709.953125,32700.0,47.0,46.0,1652.609375,1734.33203125,104.0,,,0.0
